"NAME","CATEGORY","상가업소번호","상호명","상권업종대분류명","상권업종중분류명","시도명","시군구명","법정동명","지번주소","도로명","구우편번호","경도","위도","거리"
"포레스틴","비알코올 ","MA010120220812788451","포레스틴","음식","비알코올 ","서울특별시","마포구","신공덕동","서울특별시 마포구 신공덕동 171","서울특별시 마포구 백범로",121802,126.9524467,37.5428373,450
"찬찬찬","한식","MA010120220812806662","찬찬찬","음식","한식","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 256-10","서울특별시 마포구 만리재로",121803,126.9532456,37.54478163,514
"커핀그루나루","비알코올 ","MA010120220812788954","커핀그루나루","음식","비알코올 ","서울특별시","마포구","염리동","서울특별시 마포구 염리동 161-7","서울특별시 마포구 독막로",121874,126.945472,37.54473048,203
"솥밥삼겹살","한식","MA010120220812785301","솥밥삼겹살","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 250-10","서울특별시 마포구 도화길",121813,126.9469252,37.53957147,484
"더삼겹170","한식","MA010120220812945927","더삼겹170","음식","한식","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 478","서울특별시 마포구 백범로",121862,126.9492466,37.54428658,158
"하네집","한식","MA010120220812936124","하네집","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 183-6","서울특별시 마포구 도화길",121812,126.9510565,37.54191491,382
"메가커피공덕SK리더스뷰","비알코올 ","MA010120220812962899","메가커피공덕SK리더스뷰","음식","비알코올 ","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 479","서울특별시 마포구 백범로31길",121862,126.948679,37.54521861,179
"프루타다","비알코올 ","MA010120220812972728","프루타다","음식","비알코올 ","서울특별시","마포구","용강동","서울특별시 마포구 용강동 43-1","서울특별시 마포구 토정로35길",121875,126.9436479,37.54007381,546
"튀김스럽다","기타 간이","MA010120220812992389","튀김스럽다","음식","기타 간이","서울특별시","마포구","공덕동","서울특별시 마포구 공덕동 255-16","서울특별시 마포구 마포대로",121803,126.9517446,37.54448899,378
"도화아파트먼트마포","비알코올 ","MA010120220812931057","도화아파트먼트마포","음식","비알코올 ","서울특별시","마포구","도화동","서울특별시 마포구 도화동 346-2","서울특별시 마포구 도화2길",121813,126.9494717,37.53953108,516
"조마루뼈다귀","한식","MA010120220812974283","조마루뼈다귀","음식","한식","서울특별시","마포구","용강동","서울특별시 마포구 용강동 502","서울특별시 마포구 토정로31길",121070,126.9414648,37.54162207,591
"형제특수부위","한식","MA010120220812873324","형제특수부위","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 183-6","서울특별시 마포구 도화길",121812,126.9510565,37.54191491,382
"정성을덮다","한식","MA010120220813019279","정성을덮다","음식","한식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 51-1","서울특별시 마포구 마포대로",121715,126.9468731,37.54085949,343
"야키야키","일식","MA010120220812924881","야키야키","음식","일식","서울특별시","마포구","도화동","서울특별시 마포구 도화동 343-2","서울특별시 마포구 도화길",121813,126.9484762,37.54032414,407
